번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분
1326,039740,한국정보공학,074607,기타 전문 도매업,"8,018,397","4,009,198,500",500,원(KRW)
1327,053300,한국정보인증,105802,소프트웨어 개발 및 공급업,"31,165,000","15,582,500,000",500,원(KRW)
1328,025770,한국정보통신,106102,전기 통신업,"38,014,402","19,406,371,500",500,원(KRW)
1329,271740,한국제5호스팩,116601,금융 지원 서비스업,"4,000,000","400,000,000",100,원(KRW)
1330,281410,한국제6호스팩,116601,금융 지원 서비스업,"4,510,000","451,000,000",100,원(KRW)
1331,291210,한국제7호스팩,116601,금융 지원 서비스업,"5,060,000","506,000,000",100,원(KRW)
1332,310870,한국제8호스팩,116601,금융 지원 서비스업,"3,420,000","342,000,000",100,원(KRW)
1333,023760,한국캐피탈,116409,기타 금융업,"315,609,576","157,804,788,000",500,원(KRW)
1334,054040,한국컴퓨터,032602,전자부품 제조업,"16,071,290","8,035,645,000",500,원(KRW)
1335,050540,한국코퍼레이션,147509,기타 사업지원 서비스업,"38,785,593","19,392,796,500",500,원(KRW)
1336,021650,한국큐빅,032202,플라스틱제품 제조업,"16,350,563","8,175,281,500",500,원(KRW)
1337,053590,한국테크놀로지,032902,특수 목적용 기계 제조업,"74,802,615","37,401,307,500",500,원(KRW)
1338,037230,한국팩키지,031702,"골판지, 종이 상자 및 종이용기 제조업","25,000,000","12,500,000,000",500,원(KRW)
1339,030520,한글과컴퓨터,105802,소프트웨어 개발 및 공급업,"24,440,319","12,881,216,500",500,원(KRW)
1340,052600,한네트,106102,전기 통신업,"11,563,700","5,781,850,000",500,원(KRW)
1341,256150,한독크린텍,032901,일반 목적용 기계 제조업,"4,021,000","2,010,500,000",500,원(KRW)
1342,092460,한라IMS,033101,선박 및 보트 건조업,"11,744,978","5,872,489,000",500,원(KRW)
1343,222810,한류AI센터,105802,소프트웨어 개발 및 공급업,"29,320,889","2,932,088,900",100,원(KRW)
1344,039670,한류타임즈,105801,"서적, 잡지 및 기타 인쇄물 출판업","59,922,652","29,961,326,000",500,원(KRW)
1345,047080,한빛소프트,105802,소프트웨어 개발 및 공급업,"24,779,836","12,389,918,000",500,원(KRW)
1346,070300,한솔시큐어,105802,소프트웨어 개발 및 공급업,"7,366,074","3,683,037,000",500,원(KRW)
1347,221610,한솔씨앤피,032004,기타 화학제품 제조업,"3,993,673","1,996,836,500",500,원(KRW)
1348,070590,한솔인티큐브,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","13,879,521","6,939,760,500",500,원(KRW)
1349,226440,한송네오텍,032902,특수 목적용 기계 제조업,"40,020,544","4,002,054,400",100,원(KRW)
1350,042520,한스바이오메드,032103,의료용품 및 기타 의약 관련제품 제조업,"9,902,454","4,951,227,000",500,원(KRW)
1351,078350,한양디지텍,032601,반도체 제조업,"10,000,000","5,000,000,000",500,원(KRW)
1352,045100,한양이엔지,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","18,000,000","9,000,000,000",500,원(KRW)
1353,046110,한일네트웍스,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","11,954,227","5,977,113,500",500,원(KRW)
1354,024740,한일단조,033003,자동차 신품 부품 제조업,"29,891,328","14,945,664,000",500,원(KRW)
1355,005860,한일사료,031008,동물용 사료 및 조제식품 제조업,"39,403,685","19,701,842,500",500,원(KRW)
1356,123840,한일진공,032902,특수 목적용 기계 제조업,"56,205,977","5,620,597,700",100,원(KRW)
1357,007770,한일화학,032001,기초 화학물질 제조업,"3,510,000","1,755,000,000",500,원(KRW)
1358,079170,한창산업,032402,1차 비철금속 제조업,"5,200,000","2,600,000,000",500,원(KRW)
1359,086960,한컴MDS,105802,소프트웨어 개발 및 공급업,"8,828,608","4,844,725,000",500,원(KRW)
1360,054920,한컴위드,105802,소프트웨어 개발 및 공급업,"28,217,081","14,108,540,500",500,원(KRW)
1361,002680,한탑,031006,"곡물가공품, 전분 및 전분제품 제조업","20,800,000","10,400,000,000",500,원(KRW)
1362,066110,한프,032603,컴퓨터 및 주변장치 제조업,"52,799,600","26,399,800,000",500,원(KRW)
1363,317320,한화에스비아이스팩,116601,금융 지원 서비스업,"4,360,000","436,000,000",100,원(KRW)
1364,279410,한화에이스스팩4호,116601,금융 지원 서비스업,"3,495,000","349,500,000",100,원(KRW)
1365,340440,한화플러스제1호스팩,116601,금융 지원 서비스업,"4,710,000","471,000,000",100,원(KRW)
1366,102210,해덕파워웨이,033101,선박 및 보트 건조업,"73,696,405","7,369,640,500",100,원(KRW)
1367,220630,해마로푸드서비스,074603,음·식료품 및 담배 도매업,"96,801,692","9,680,169,200",100,원(KRW)
1368,034810,해성산업,126801,부동산 임대 및 공급업,"9,780,000","4,890,000,000",500,원(KRW)
1369,076610,해성옵틱스,032703,사진장비 및 광학기기 제조업,"30,989,561","15,494,780,500",500,원(KRW)
1370,220180,핸디소프트,105802,소프트웨어 개발 및 공급업,"19,400,000","9,700,000,000",500,원(KRW)
1371,008800,행남사,031007,기타 식품 제조업,"45,628,344","22,814,172,000",500,원(KRW)
1372,900270,헝셩그룹,116409,기타 금융업,"80,000,000","416,446,347",0,중국위안(CNY)
1373,084990,헬릭스미스,137001,자연과학 및 공학 연구개발업,"21,415,088","10,707,544,000",500,원(KRW)
1374,170030,현대공업,033003,자동차 신품 부품 제조업,"15,340,000","7,670,000,000",500,원(KRW)
1375,048410,현대바이오,032004,기타 화학제품 제조업,"35,915,877","17,957,938,500",500,원(KRW)
